scheme_name,min_sip,min_lumpsum,expense_ratio,fund_size_cr,fund_age_yr,fund_manager,alpha,sd,beta,sharpe,risk_level,amc_name,rating,category,sub_category,returns_1yr,returns_3yr,returns_5yr
Baroda BNP Paribas Balanced Advantage Fund,500,5000,0.64,3123.0,4,Sanjay Chawla,0.0,0.6,0.58,0.02,6,Baroda BNP Paribas Mutual Fund,4,Hybrid,Dynamic Asset Allocation or Balanced Advantage,3.7,19.8,
ICICI Pru Bluechip Fund,100,100,1.06,34198.0,10,Anish Tawakley,0.01,0.86,0.85,0.02,6,ICICI Prudential Mutual Fund,4,Equity,Large Cap Mutual Funds,4.4,28.2,12.3
HDFC Multi-Asset Fund,100,100,0.88,1643.0,10,Srinivasan Ramamurthy,0.01,0.48,0.47,0.03,6,HDFC Mutual Fund,4,Hybrid,Multi Asset Allocation Mutual Funds,6.9,23.0,10.9
Edelweiss Large Cap Fund,500,5000,0.93,399.0,10,Bharat Lahoti,0.01,0.92,0.92,0.02,6,Edelweiss Mutual Fund,4,Equity,Large Cap Mutual Funds,4.9,26.0,12.8
AXIS Bluechip Fund,500,500,0.63,33049.0,10,Shreyash Devalkar,-0.03,0.91,0.9,-0.02,6,Axis Mutual Fund,4,Equity,Large Cap Mutual Funds,-6.1,17.3,12.1
Invesco India Largecap Fund,100,1000,0.81,724.0,10,Amit Nigam,-0.02,0.92,0.92,-0.01,6,Invesco Mutual Fund,4,Equity,Large Cap Mutual Funds,-1.8,24.0,11.1
Mirae Asset Hybrid – Equity Fund,1000,5000,0.36,6952.0,8,Harshad Borawake,0.0,0.69,0.68,0.01,6,Mirae Asset Mutual Fund,4,Hybrid,Aggressive Hybrid Mutual Funds,1.7,21.9,12.2
ICICI Pru S&P BSE Sensex Index Fund,100,100,0.16,694.0,6,Kayzad Eghlim,0.0,0.97,1.0,0.02,6,ICICI Prudential Mutual Fund,4,Other,Index Funds,1.4,25.8,12.9
HDFC Balanced Advantage Fund,100,100,0.88,51042.0,10,Gopal Agrawal,0.04,0.62,0.56,0.07,6,HDFC Mutual Fund,4,Hybrid,Dynamic Asset Allocation or Balanced Advantage,14.4,29.3,12.9
HDFC Retirement Savings Fund,100,100,1.03,932.0,7,Srinivasan Ramamurthy,0.02,0.6,0.57,0.05,6,HDFC Mutual Fund,4,Solution Oriented,Retirement Funds,8.0,24.5,12.3
Nippon India Index Fund,100,5000,0.15,374.0,10,Mehul Dama,0.0,0.97,1.0,0.02,6,Nippon India Mutual Fund,4,Other,Index Funds,1.5,25.6,13.0
ICICI Pru Asset Allocator Fund,1000,5000,0.18,18393.0,10,Dharmesh Kakkad,0.02,0.26,0.22,0.08,4,ICICI Prudential Mutual Fund,4,Other,FoFs Domestic,8.8,21.6,12.8
HDFC Index Fund,100,100,0.2,4210.0,10,Nirman Morakhia,0.0,0.97,1.0,0.02,6,HDFC Mutual Fund,4,Other,Index Funds,2.4,25.8,12.8
Tata S&P BSE Sensex Index Fund,150,5000,0.27,174.0,10,Sonam Udasi,0.0,0.97,0.99,0.02,6,Tata Mutual Fund,4,Other,Index Funds,2.4,25.1,12.8
Tata Balanced Advantage Fund,150,5000,0.28,6396.0,4,RahulSingh,0.01,0.43,0.42,0.03,4,Tata Mutual Fund,4,Hybrid,Dynamic Asset Allocation or Balanced Advantage,5.8,18.7,
Mahindra Manulife Equity Savings Fund,500,1000,0.7,418.0,6,Fatema Pacha,0.0,0.45,0.42,0.01,4,Mahindra Manulife Mutual Fund,4,Hybrid,Equity Savings Mutual Funds,1.7,32.4,13.3
Sundaram Aggressive Hybrid Fund,100,100,0.67,2981.0,10,S Bharath,0.0,0.68,0.67,0.01,5,Sundaram Mutual Fund,4,Hybrid,Aggressive Hybrid Mutual Funds,1.2,21.7,9.7
Sundaram Equity Savings Fund,500,100,0.54,415.0,10,Sudhir Kedia,0.0,0.41,0.37,0.02,3,Sundaram Mutual Fund,4,Hybrid,Equity Savings Mutual Funds,3.9,16.8,9.9
JM Equity Hybrid Fund,500,5000,1.37,11.0,10,Asit Bhandarkar,0.02,0.75,0.71,0.04,6,JM Financial Mutual Fund,4,Hybrid,Aggressive Hybrid Mutual Funds,8.0,29.5,11.2
HDFC Dynamic PE Ratio Fund,100,100,0.22,30.0,10,Srinivasan Ramamurthy,0.02,0.49,0.43,0.05,5,HDFC Mutual Fund,4,Other,FoFs Domestic,8.6,21.9,11.1
ICICI Pru Balanced Advantage Fund,100,500,0.91,44515.0,10,Sankaran Naren,0.01,0.35,0.34,0.05,5,ICICI Prudential Mutual Fund,4,Hybrid,Dynamic Asset Allocation or Balanced Advantage,6.7,19.7,10.4
Aditya Birla SL Balanced Advantage Fund,100,100,0.61,6386.0,10,Mohit Sharma,0.0,0.45,0.44,0.02,6,Aditya Birla Sun Life Mutual Fund,4,Hybrid,Dynamic Asset Allocation or Balanced Advantage,4.5,18.6,9.7
SBI Magnum Children’s Benefit Fund,500,5000,0.86,89.0,10,Rajeev Radhakrishnan,0.0,0.22,0.15,-0.01,4,SBI Mutual Fund,4,Solution Oriented,Childrens Funds,3.1,15.2,8.3
Sundaram Fin Serv Opportunities – Direct Growth,100,100,0.51,601.0,10,Rohit Seksaria,0.03,1.13,1.05,0.04,6,Sundaram Mutual Fund,4,Equity,Sectoral / Thematic Mutual Funds,11.4,25.9,12.6
SBI Conservative Hybrid Fund,500,5000,0.57,7250.0,10,Saurabh Pant,0.01,0.22,0.19,0.04,5,SBI Mutual Fund,4,Hybrid,Conservative Hybrid Mutual Funds,6.2,13.8,8.8
Kotak Equity Savings Fund,1000,5000,1.02,2097.0,8,Devender Singhal,0.01,0.26,0.24,0.05,4,Kotak Mahindra Mutual Fund,4,Hybrid,Equity Savings Mutual Funds,6.6,14.4,9.2
HDFC Equity Savings Fund,100,100,1.1,2524.0,10,Anil Bamboli,0.01,0.33,0.32,0.03,4,HDFC Mutual Fund,4,Hybrid,Equity Savings Mutual Funds,5.1,16.0,8.8
Aditya Birla SL FP FoF – Conservative – Direct Growth,100,100,0.34,14.0,10,Vinod Narayan Bhat,0.0,0.26,0.23,0.02,4,Aditya Birla Sun Life Mutual Fund,4,Other,FoFs Domestic,4.7,13.3,8.2
UTI-Equity Savings Fund,0,5000,0.68,257.0,5,V Srivatsa,0.01,0.35,0.33,0.04,3,UTI Mutual Fund,4,Hybrid,Equity Savings Mutual Funds,6.1,14.7,
Tata Banking & Financial Services Fund,150,5000,0.59,1272.0,7,Sonam Udasi,0.04,1.1,1.01,0.05,6,Tata Mutual Fund,4,Equity,Sectoral / Thematic Mutual Funds,11.9,23.2,12.6
Bank of India Conservative Hybrid Fund,1000,10000,2.2,63.0,10,Alok Singh,0.07,1.22,0.18,0.06,3,Bank of India Mutual Fund,4,Hybrid,Conservative Hybrid Mutual Funds,22.3,15.5,6.4
Taurus Banking & Financial Services-Direct Growth,1000,5000,1.66,8.91,10,Hardik Shah,0.03,1.14,1.04,0.04,6,Taurus Mutual Fund,4,Equity,Sectoral / Thematic Mutual Funds,9.0,21.9,11.9
DSP G-Sec Fund,500,500,0.54,430.0,10,Vikram Chopra,0.0,0.12,0.03,-0.01,3,DSP Mutual Fund,4,Debt,Gilt Mutual Funds,4.4,5.9,8.6
ICICI Pru Credit Risk Fund,100,100,0.86,7584.0,10,Manish Banthia,0.0,0.08,0.02,0.06,4,ICICI Prudential Mutual Fund,4,Debt,Credit Risk Funds,5.8,8.0,8.1
HDFC Retirement Savings Fund,100,100,1.0,140.0,7,Shobhit Mehrotra,0.01,0.25,0.2,0.03,4,HDFC Mutual Fund,4,Solution Oriented,Retirement Funds,6.0,10.3,7.8
AXIS Gilt Fund,1000,5000,0.39,133.0,10,Devang Shah,0.0,0.12,0.02,-0.02,3,Axis Mutual Fund,4,Debt,Gilt Mutual Funds,4.0,5.9,7.9
SBI Magnum Income Fund,500,5000,0.8,1510.0,10,Dinesh Ahuja,0.0,0.16,0.04,0.0,4,SBI Mutual Fund,4,Debt,Medium to Long Duration Funds,4.8,6.9,7.8
SBI Magnum Medium Duration Fund,500,5000,0.69,7087.0,10,Dinesh Ahuja,0.0,0.13,0.03,0.01,4,SBI Mutual Fund,4,Debt,Medium Duration Funds,4.6,7.2,7.9
ICICI Pru Medium Term Bond Fund,1000,5000,0.77,6305.0,10,Manish Banthia,0.0,0.1,0.02,0.05,4,ICICI Prudential Mutual Fund,4,Debt,Medium Duration Funds,5.6,7.7,7.6
Kotak Gilt – Invest Plan – Direct Growth,1000,5000,0.41,1699.0,10,Abhishek Bisen,0.0,0.12,0.02,0.01,2,Kotak Mahindra Mutual Fund,4,Debt,Gilt Mutual Funds,5.2,6.3,8.4
Kotak Gilt Invest – PF & Trust Plan – Direct Growth,1000,5000,0.41,1699.0,10,Abhishek Bisen,0.0,0.12,0.02,0.01,2,Kotak Mahindra Mutual Fund,4,Debt,Gilt Mutual Funds,5.2,6.3,8.4
Baroda BNP Paribas Conservative Hybrid Fund,300,1000,0.78,501.0,10,Pratish Krishnan,0.0,0.24,0.22,0.01,4,Baroda BNP Paribas Mutual Fund,4,Hybrid,Conservative Hybrid Mutual Funds,3.7,9.2,7.7
Aditya Birla SL Income Fund,1000,5000,0.49,1496.0,10,Bhupesh Bameta,0.0,0.13,0.03,-0.03,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Medium to Long Duration Funds,3.5,7.1,7.7
ICICI Pru Short Term Fund,1000,5000,0.39,14561.0,10,Manish Banthia,0.01,0.08,0.01,0.1,3,ICICI Prudential Mutual Fund,4,Debt,Short Duration Funds,6.4,7.5,7.7
SBI Dynamic Bond Fund,500,5000,0.87,2407.0,10,Dinesh Ahuja,0.0,0.13,0.02,0.03,3,SBI Mutual Fund,4,Debt,Dynamic Bond,5.9,5.9,7.9
Kotak Dynamic Bond Fund,1000,5000,0.4,1992.0,10,Deepak Agrawal,0.0,0.13,0.03,-0.03,3,Kotak Mahindra Mutual Fund,4,Debt,Dynamic Bond,3.9,6.6,7.8
Sundaram Corporate Bond Fund,250,5000,0.28,996.0,10,Dwijendra Srivastava,0.0,0.05,0.01,0.02,2,Sundaram Mutual Fund,4,Debt,Corporate Bond Mutual Funds,4.5,6.8,7.3
Nippon India Banking & PSU Debt Fund,100,5000,0.33,4008.0,8,Pranay Sinha,0.0,0.08,0.02,-0.02,3,Nippon India Mutual Fund,4,Debt,Banking and PSU Mutual Funds,4.2,6.9,7.4
Aditya Birla SL Short Term Fund,1000,1000,0.38,5045.0,10,Kaustubh Gupta,0.0,0.06,0.01,0.07,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Short Duration Funds,5.5,7.8,7.6
HDFC Dynamic Debt Fund,100,100,0.49,527.0,10,Anil Bamboli,0.0,0.1,0.02,0.0,3,HDFC Mutual Fund,4,Debt,Dynamic Bond,4.6,7.3,6.1
PGIM India Corporate Bond Fund,1000,5000,0.29,49.0,10,Puneet Pal,0.0,0.05,0.01,0.0,2,PGIM India Mutual Fund,4,Debt,Corporate Bond Mutual Funds,4.3,6.8,6.9
Aditya Birla SL Banking&PSU Debt Fund,1000,1000,0.37,7994.0,10,Kaustubh Gupta,0.0,0.06,0.01,0.01,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Banking and PSU Mutual Funds,4.5,6.8,7.3
Nippon India Income Fund,0,5000,0.58,238.0,10,Vivek Sharma,0.0,0.12,0.03,0.04,2,Nippon India Mutual Fund,4,Debt,Medium to Long Duration Funds,6.0,5.8,7.9
Nippon India Short Term Fund,100,100,0.34,5147.0,10,Sushil Budhia,0.0,0.07,0.02,-0.01,3,Nippon India Mutual Fund,4,Debt,Short Duration Funds,4.3,6.7,7.2
Aditya Birla SL Corporate Bond Fund,100,100,0.31,12120.0,10,Kaustubh Gupta,0.0,0.08,0.02,0.03,2,Aditya Birla Sun Life Mutual Fund,4,Debt,Corporate Bond Mutual Funds,4.9,7.1,7.4
HDFC Banking and PSU Debt Fund,100,100,0.39,4805.0,9,Anil Bamboli,0.0,0.07,0.02,0.0,2,HDFC Mutual Fund,4,Debt,Banking and PSU Mutual Funds,4.3,6.8,7.2
AXIS Short Term Fund,1000,5000,0.3,7096.0,10,Devang Shah,0.0,0.06,0.01,0.03,3,Axis Mutual Fund,4,Debt,Short Duration Funds,4.9,6.9,7.4
AXIS Banking & PSU Debt Fund,1000,5000,0.33,13953.0,10,Aditya Pagaria,0.0,0.05,0.01,0.0,3,Axis Mutual Fund,4,Debt,Banking and PSU Mutual Funds,4.5,6.4,7.2
AXIS Strategic Bond Fund,1000,5000,0.39,1644.0,10,Devang Shah,0.0,0.1,0.02,0.02,4,Axis Mutual Fund,4,Debt,Medium Duration Funds,5.2,7.4,7.4
Kotak Medium Term Fund,1000,5000,0.58,1934.0,9,Deepak Agrawal,0.0,0.11,0.03,-0.02,3,Kotak Mahindra Mutual Fund,4,Debt,Medium Duration Funds,4.0,7.0,6.6
HDFC Floating Rate Debt Fund,100,100,0.26,14785.0,10,Shobhit Mehrotra,0.01,0.05,0.01,0.11,3,HDFC Mutual Fund,4,Debt,Floater Mutual Funds,5.6,6.5,6.9
Aditya Birla SL Low Duration Fund,100,100,0.39,10035.0,10,Mohit Sharma,0.01,0.03,0.01,0.16,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Low Duration Funds,5.7,6.5,7.0
ICICI Pru Debt Management Fund,100,100,0.41,141.0,10,Manish Banthia,0.01,0.08,0.01,0.07,3,ICICI Prudential Mutual Fund,4,Other,FoFs Domestic,5.8,6.7,7.0
IDBI Short Term Bond Fund,500,5000,0.28,29.0,10,Raju Sharma,0.0,0.09,0.02,-0.01,2,IDBI Mutual Fund,4,Debt,Short Duration Funds,4.1,9.4,6.9
IIFL Dynamic Bond Fund,1000,10000,0.27,494.0,10,Milan Mody,0.0,0.12,0.03,-0.04,3,IIFL Mutual Fund,4,Debt,Dynamic Bond,3.3,6.0,6.5
HDFC Low Duration Fund,100,100,0.43,14779.0,10,Anupam Joshi,0.0,0.04,0.01,0.11,2,HDFC Mutual Fund,4,Debt,Low Duration Funds,5.4,6.2,6.7
Aditya Birla SL Credit Risk Fund,100,100,0.69,1032.0,8,Sunaina da Cunha,0.02,0.17,0.0,0.1,4,Aditya Birla Sun Life Mutual Fund,4,Debt,Credit Risk Funds,8.7,9.0,7.2
AXIS Credit Risk Fund,1000,5000,0.81,620.0,9,Devang Shah,0.0,0.07,0.01,0.06,4,Axis Mutual Fund,4,Debt,Credit Risk Funds,5.4,7.4,6.8
ICICI Pru Ultra Short Term Fund,1000,5000,0.39,12447.0,10,Manish Banthia,0.01,0.03,0.0,0.19,3,ICICI Prudential Mutual Fund,4,Debt,Ultra Short Duration Funds,5.7,5.9,6.7
AXIS Treasury Advantage Fund,1000,5000,0.29,4614.0,10,Devang Shah,0.0,0.03,0.01,0.12,2,Axis Mutual Fund,4,Debt,Low Duration Funds,5.3,5.9,6.6
Nippon India Low Duration Fund,100,500,0.37,6232.0,10,Anju Chhajer,0.0,0.03,0.01,0.12,2,Nippon India Mutual Fund,4,Debt,Low Duration Funds,5.3,6.2,6.5
Aditya Birla SL Savings Fund,1000,1000,0.34,14457.0,10,Kaustubh Gupta,0.0,0.03,0.01,0.16,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Ultra Short Duration Funds,5.5,5.8,6.5
Franklin India Floating Rate Fund,500,1000,0.21,311.0,10,Pallab Roy,0.01,0.04,0.01,0.14,2,Franklin Templeton Mutual Fund,4,Debt,Floater Mutual Funds,5.8,5.6,6.2
Aditya Birla SL Money Manager Fund,1000,1000,0.21,13095.0,10,Mohit Sharma,0.0,0.02,0.0,0.2,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Money Market Funds,5.6,5.6,6.4
AXIS Ultra Short Term Fund,1000,5000,0.31,4491.0,5,Aditya Pagaria,0.01,0.04,0.0,0.13,3,Axis Mutual Fund,4,Debt,Ultra Short Duration Funds,5.7,5.4,
HDFC Ultra Short Term Fund,100,100,0.34,13303.0,5,Anil Bamboli,0.0,0.04,0.01,0.11,3,HDFC Mutual Fund,4,Debt,Ultra Short Duration Funds,5.4,5.5,
JM Dynamic Bond Fund,1000,5000,0.63,43.0,10,Gurvinder Singh Wasan,0.0,0.07,0.01,0.01,2,JM Financial Mutual Fund,4,Debt,Dynamic Bond,4.8,6.0,6.1
UTI-Money Market Fund,500,500,0.2,7897.0,10,Amit Sharma,0.01,0.02,0.0,0.23,3,UTI Mutual Fund,4,Debt,Money Market Funds,5.6,5.3,6.2
Tata Ultra Short Term Fund,150,5000,0.25,1629.0,4,Akhil Mittal,0.0,0.04,0.0,0.12,2,Tata Mutual Fund,4,Debt,Ultra Short Duration Funds,5.5,5.1,
AXIS Arbitrage Fund,1000,500,0.31,3085.0,9,Ashish Naik,0.0,0.06,-0.02,0.07,1,Axis Mutual Fund,4,Hybrid,Arbitrage Mutual Funds,5.6,4.9,5.6
Nippon India Arbitrage Fund,100,5000,0.21,9234.0,10,Anand Devendra Gupta,0.0,0.06,-0.02,0.07,1,Nippon India Mutual Fund,4,Hybrid,Arbitrage Mutual Funds,5.6,4.9,5.7
HSBC Arbitrage Fund,500,5000,0.29,2344.0,9,Ritesh Jain,0.0,0.06,-0.02,0.05,1,HSBC Mutual Fund,4,Hybrid,Arbitrage Mutual Funds,5.4,4.7,5.5
Kotak Equity Arbitrage Fund,1000,5000,0.43,21917.0,10,Hiten Shah,0.01,0.06,-0.02,0.08,1,Kotak Mahindra Mutual Fund,4,Hybrid,Arbitrage Mutual Funds,5.8,4.9,5.6
IDBI Liquid Fund,500,5000,0.13,763.0,10,Raju Sharma,0.0,0.02,0.0,0.3,2,IDBI Mutual Fund,4,Debt,Liquid Mutual Funds,5.6,4.4,5.4
JM Low Duration Fund,1000,5000,0.34,151.0,10,Shalini Tibrewala,0.0,0.03,0.01,0.11,2,JM Financial Mutual Fund,4,Debt,Low Duration Funds,5.1,11.5,5.3
Edelweiss Liquid Fund,500,5000,0.15,1543.0,10,Rahul Dedhia,0.0,0.02,0.0,0.3,3,Edelweiss Mutual Fund,4,Debt,Liquid Mutual Funds,5.6,4.4,5.4
Aditya Birla SL Liquid Fund,500,500,0.21,28071.0,10,Kaustubh Gupta,0.0,0.02,0.0,0.31,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Liquid Mutual Funds,5.7,4.4,5.4
Union Liquid Fund,2000,5000,0.07,1688.0,10,Devesh Thacker,0.0,0.01,0.0,0.32,2,Union Mutual Fund,4,Debt,Liquid Mutual Funds,5.7,4.4,4.6
AXIS Liquid Fund,0,500,0.15,27226.0,10,Devang Shah,0.0,0.01,0.0,0.32,2,Axis Mutual Fund,4,Debt,Liquid Mutual Funds,5.7,4.3,5.4
UTI-Liquid – Cash Plan – Direct Growth,0,500,0.14,31463.0,10,Amandeep Chopra,0.0,0.01,0.0,0.32,2,UTI Mutual Fund,4,Debt,Liquid Mutual Funds,5.7,4.4,5.3
Bank of India Liquid Fund,0,5000,0.18,403.0,10,Mithraem Bharucha,0.0,0.01,0.0,0.32,2,Bank of India Mutual Fund,4,Debt,Liquid Mutual Funds,5.7,4.3,5.3
JM Liquid Fund,1000,5000,0.15,1426.0,10,Shalini Tibrewala,0.0,0.02,0.0,0.3,2,JM Financial Mutual Fund,4,Debt,Liquid Mutual Funds,5.6,4.2,5.3
Sundaram Liquid Fund,2000,1000,0.17,4169.0,10,Dwijendra Srivastava,0.0,0.01,0.0,0.33,2,Sundaram Mutual Fund,4,Debt,Liquid Mutual Funds,5.7,4.2,3.3
DSP Overnight Fund,500,500,0.06,2754.0,4,Kedar Karnik,0.0,0.01,0.0,0.31,1,DSP Mutual Fund,4,Debt,Overnight Mutual Funds,5.4,3.9,
Nippon India Overnight Fund,100,100,0.08,8861.0,4,Anju Chhajer,0.0,0.01,0.0,0.31,1,Nippon India Mutual Fund,4,Debt,Overnight Mutual Funds,5.4,3.9,
AXIS Overnight Fund,0,500,0.05,12566.0,4,Aditya Pagaria,0.0,0.01,0.0,0.31,1,Axis Mutual Fund,4,Debt,Overnight Mutual Funds,5.4,3.9,
Tata Medium Term Fund,150,5000,0.45,76.0,10,Abhisek Sonthalia,0.0,0.11,0.01,-0.02,3,Tata Mutual Fund,4,Debt,Medium Duration Funds,1.7,32.4,13.3
UTI-Credit Risk Fund,500,500,0.81,438.0,10,Ritesh Nambiar,0.0,0.08,0.02,0.04,4,UTI Mutual Fund,4,Debt,Credit Risk Funds,5.0,8.3,-0.9
Mirae Asset Focused Fund,1000,5000,0.59,8615.0,4,Gaurav Misra,-0.03,0.92,0.87,-0.02,6,Mirae Asset Mutual Fund,4,Equity,Focused Funds,-4.9,28.4,
Mirae Asset Midcap Fund,1000,5000,0.58,8753.0,4,Ankit Jain,0.0,0.91,0.75,0.01,6,Mirae Asset Mutual Fund,4,Equity,Mid Cap Mutual Funds,1.2,35.0,
Mahindra Manulife Aggressive Hybrid Fund,500,1000,0.65,615.0,4,Fatema Pacha,0.0,0.69,0.68,0.02,6,Mahindra Manulife Mutual Fund,4,Hybrid,Aggressive Hybrid Mutual Funds,2.7,24.6,
Union Focused Fund,500,1000,1.57,317.0,4,Hardick Bora,-0.01,0.87,0.85,0.0,6,Union Mutual Fund,4,Equity,Focused Funds,-0.1,26.2,
LIC MF Overnight Fund,1000,5000,0.07,951.0,4,Rahul Singh,0.0,0.01,0.0,0.31,1,LIC Mutual Fund,4,Debt,Overnight Mutual Funds,5.4,3.9,
Mahindra Manulife Overnight Fund,0,1000,0.12,345.0,4,Rahul Pal,0.0,0.01,0.0,0.31,1,Mahindra Manulife Mutual Fund,4,Debt,Overnight Mutual Funds,5.4,3.9,
AXIS Money Market Fund,1000,5000,0.21,4002.0,4,Devang Shah,0.0,0.02,0.0,0.2,2,Axis Mutual Fund,4,Debt,Money Market Funds,5.6,5.4,
PGIM India Overnight Fund,1000,100,0.12,75.0,4,Puneet Pal,0.0,0.01,0.0,0.3,1,PGIM India Mutual Fund,4,Debt,Overnight Mutual Funds,5.4,3.9,
Mahindra Manulife Ultra Short Duration Fund,500,1000,0.35,170.0,3,Rahul Pal,0.0,0.02,0.0,0.2,2,Mahindra Manulife Mutual Fund,4,Debt,Ultra Short Duration Funds,5.5,5.1,
Motilal Oswal Nifty 50 Index Fund,500,500,0.14,234.0,3,Swapnil Mayekar,0.0,0.96,0.98,0.01,6,Motilal Oswal Mutual Fund,4,Other,Index Funds,0.1,26.0,
AXIS All Seasons Debt Fund,1000,5000,0.22,161.0,3,R Sivakumar,0.0,0.1,0.02,0.01,4,Axis Mutual Fund,4,Other,FoFs Domestic,4.7,6.2,
PGIM India Money Market Fund,1000,5000,0.15,235.0,3,Puneet Pal,0.01,0.02,0.0,0.3,2,PGIM India Mutual Fund,4,Debt,Money Market Funds,5.7,5.1,
Tata Floating Rate Fund,150,5000,0.3,225.0,2,Akhil Mittal,0.0,0.06,0.01,0.08,2,Tata Mutual Fund,4,Debt,Floater Mutual Funds,5.6,,
Union Small Cap Fund,500,1000,1.35,710.0,9,Hardick Bora,0.0,0.91,0.65,0.01,6,Union Mutual Fund,3,Equity,Small Cap Mutual Funds,-0.1,37.1,12.8
ICICI Pru Smallcap Fund,100,5000,0.81,4618.0,10,Harish Bihani,0.02,0.85,0.61,0.04,6,ICICI Prudential Mutual Fund,3,Equity,Small Cap Mutual Funds,7.7,41.8,14.9
Invesco India Smallcap Fund,500,1000,0.78,1400.0,4,Taher Badshah,0.02,0.87,0.63,0.03,6,Invesco Mutual Fund,3,Equity,Small Cap Mutual Funds,3.5,34.6,
Mahindra Manulife Mid Cap Fund,500,1000,0.66,1060.0,5,Abhinav Khandelwal,0.01,0.99,0.79,0.02,6,Mahindra Manulife Mutual Fund,3,Equity,Mid Cap Mutual Funds,3.7,31.0,14.7
IDBI Small Cap Fund,500,5000,1.54,143.0,6,Alok Ranjan,0.0,0.95,0.64,0.01,6,IDBI Mutual Fund,3,Equity,Small Cap Mutual Funds,2.1,38.5,12.6
AXIS Growth Opportunities Fund,1000,500,0.59,8053.0,4,Jinesh Gopani,-0.02,0.93,0.77,-0.02,6,Axis Mutual Fund,3,Equity,Large & Mid Cap Funds,-6.4,26.5,
Baroda BNP Paribas Mid Cap Fund,300,5000,0.59,1192.0,10,Shiv Chanani,0.0,0.93,0.76,0.01,6,Baroda BNP Paribas Mutual Fund,3,Equity,Mid Cap Mutual Funds,2.4,30.6,13.6
HSBC Small Cap Fund,500,5000,0.77,8625.0,9,Venugopal Manghat,0.02,1.0,0.73,0.03,6,HSBC Mutual Fund,3,Equity,Small Cap Mutual Funds,5.1,44.7,12.7
UTI-Mid Cap Fund,500,5000,0.99,7077.0,10,Ankit Agarwal,0.0,0.95,0.76,0.01,6,UTI Mutual Fund,3,Equity,Mid Cap Mutual Funds,0.4,31.1,11.4
Invesco India Midcap Fund,500,1000,0.72,2618.0,10,Pranav Gokhale,0.0,0.95,0.79,0.02,6,Invesco Mutual Fund,3,Equity,Mid Cap Mutual Funds,0.2,33.5,14.6
Tata Mid Cap Growth Fund,150,5000,0.98,1759.0,10,Satish Chandra Mishra,0.0,0.97,0.78,0.01,6,Tata Mutual Fund,3,Equity,Mid Cap Mutual Funds,1.3,29.2,13.5
Canara Robeco Infrastructure – Direct Growth,1000,5000,1.32,247.0,10,Shridatta Bhandwaldar,0.02,0.9,0.71,0.04,6,Canara Robeco Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,13.7,34.9,12.2
Baroda BNP Paribas India Consumption Fund,300,5000,0.81,880.0,5,Shiv Chanani,0.01,0.83,0.73,0.02,6,Baroda BNP Paribas Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,5.2,23.3,
Tata Infrastructure Fund,150,5000,1.42,950.0,10,Abhinav Sharma,0.03,0.95,0.75,0.04,6,Tata Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,14.0,35.0,13.1
Taurus Discovery (Midcap) Fund,1000,5000,2.19,74.0,10,Hardik Shah,0.01,1.09,0.83,0.02,6,Taurus Mutual Fund,3,Equity,Mid Cap Mutual Funds,3.6,26.4,10.9
Canara Robeco Emerging Equities – Direct Growth,1000,5000,0.6,15261.0,10,Shridatta Bhandwaldar,-0.01,0.88,0.83,0.0,6,Canara Robeco Mutual Fund,3,Equity,Large & Mid Cap Funds,-0.2,27.0,12.6
HDFC Small Cap Fund,100,100,0.8,14648.0,10,Chirag Setalvad,0.04,1.01,0.74,0.04,6,HDFC Mutual Fund,3,Equity,Small Cap Mutual Funds,12.5,43.5,13.5
HDFC Mid-Cap Opportunities Fund,100,100,0.95,35009.0,10,Chirag Setalvad,0.04,0.98,0.76,0.05,6,HDFC Mutual Fund,3,Equity,Mid Cap Mutual Funds,11.9,34.2,13.1
LIC MF Large & Mid Cap Fund,1000,5000,0.84,1888.0,8,Yogesh Patil,-0.02,0.86,0.79,-0.01,6,LIC Mutual Fund,3,Equity,Large & Mid Cap Funds,-4.3,22.8,10.9
ICICI Pru MidCap Fund,100,5000,1.16,3492.0,10,Lalit Kumar,0.0,0.96,0.78,0.01,6,ICICI Prudential Mutual Fund,3,Equity,Mid Cap Mutual Funds,3.9,32.9,11.1
HDFC Large and Mid Cap Fund,100,100,1.03,7897.0,10,Gopal Agrawal,0.02,0.96,0.88,0.03,6,HDFC Mutual Fund,3,Equity,Large & Mid Cap Funds,6.3,33.3,12.8
Sundaram Multi Cap Fund,100,100,0.97,1795.0,10,Sudhir Kedia,-0.01,0.9,0.83,0.0,6,Sundaram Mutual Fund,3,Equity,Multi Cap Funds,-2.2,28.1,11.0
Nippon India Value Fund,100,500,1.21,4641.0,10,Meenakshi Dawar,-0.01,0.94,0.9,0.01,6,Nippon India Mutual Fund,3,Equity,Value Funds,0.0,30.3,12.2
